id,time,value,lagtime,lagvalue,timediff
a3d47b1a-985e-5395-a6ee-719dad9b580f,2018-06-13 09:15:00+00:00,0.056,2018-06-13 08:45:00+00:00,0.056,0 days 00:30:00
a3e8e405-0eed-59b6-8747-fe892a6f93de,2018-06-09 04:15:00+00:00,280.8,2018-06-09 03:45:00+00:00,281.6,0 days 00:30:00
a46fb790-028c-5d17-a3e6-7d08daec0c03,2018-06-13 09:15:00+00:00,281.46,2018-06-13 08:45:00+00:00,281.39,0 days 00:30:00
a470ac6d-d448-522b-9b74-8ed27f24de25,2018-06-09 04:15:00+00:00,0.004,2018-06-09 03:45:00+00:00,0.006,0 days 00:30:00
a48e47ab-bbcd-5b39-aaaa-47fbaafe166e,2018-06-07 00:45:00+00:00,27.273,2018-06-07 00:15:00+00:00,30.0,0 days 00:30:00
a48e47ab-bbcd-5b39-aaaa-47fbaafe166e,2018-06-07 01:30:00+00:00,27.273,2018-06-07 01:00:00+00:00,23.077,0 days 00:30:00
a48e47ab-bbcd-5b39-aaaa-47fbaafe166e,2018-06-07 17:45:00+00:00,21.429,2018-06-07 17:15:00+00:00,25.0,0 days 00:30:00
a48e47ab-bbcd-5b39-aaaa-47fbaafe166e,2018-06-07 18:45:00+00:00,25.0,2018-06-07 18:15:00+00:00,30.0,0 days 00:30:00
a48e47ab-bbcd-5b39-aaaa-47fbaafe166e,2018-06-07 19:15:00+00:00,20.0,2018-06-07 18:45:00+00:00,25.0,0 days 00:30:00
a48e47ab-bbcd-5b39-aaaa-47fbaafe166e,2018-06-07 19:45:00+00:00,23.077,2018-06-07 19:15:00+00:00,20.0,0 days 00:30:00
